id,state_code,source,name,ward_code,category,subtype,management,education,poi_type,no_of_teac,no_of_stud,global_id,layer,path,geometry,longitude,latitude,state_name
u_fc_poi_school.84866,AD,NMIS,Bali Central Primary School,ADSDSA08,Primary,Standard,Public,Formal,School,,,c9d23de3-93bf-46c4-a6c9-ce8f56010f8a,public-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-public-schools.zip/public-schools.geojson,POINT (11.804694 9.307503),11.804694,9.307503,Adamawa
u_fc_poi_school.84881,AD,NMIS,Demsawo Primary School,ADSYLN09,Primary,Primary,Public,Formal,School,,,c9dcc7d9-3320-46b3-9835-5d36dd197e59,public-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-public-schools.zip/public-schools.geojson,POINT (12.434942 9.28221),12.434942,9.28221,Adamawa
u_fc_poi_school.84928,AD,NMIS,Timkpwa Primary School,ADSTNG07,Primary,Primary,Public,Formal,School,,,c9f3e259-8b42-48fb-84c5-8163af9fedb6,public-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-public-schools.zip/public-schools.geojson,POINT (11.567016 8.024611),11.567016,8.024611,Adamawa
u_fc_poi_school.84931,AD,NMIS,Here Primary School,ADSGMB02,Primary,Primary,Public,Formal,School,,,c9f73108-83f3-4cac-8749-a8902e62eae9,public-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-public-schools.zip/public-schools.geojson,POINT (12.236324 10.078507),12.236324,10.078507,Adamawa
u_fc_poi_school.84956,AD,NMIS,Bwadai Primary School Bwadai,ADSSNG01,Primary,Pre Primary,Public,Formal,School,,,ca05ff7c-1d4b-45d4-b504-ccaba4a4edb9,public-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-public-schools.zip/public-schools.geojson,POINT (12.353453 9.829679),12.353453,9.829679,Adamawa
u_fc_poi_school.85023,AD,NMIS,Data Nomadic,ADSGMB02,Primary,Primary,Public,Formal,School,,,ca31d505-ffd7-4159-980d-988bfee054aa,public-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-public-schools.zip/public-schools.geojson,POINT (12.255587 9.967216),12.255587,9.967216,Adamawa
u_fc_poi_school.85057,AD,NMIS,Mbilla Girl Child Primary School,ADSMWA08,Primary,Standard,Public,Formal,School,,,ca462ba2-c905-4747-b901-9a2b38a60d02,public-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-public-schools.zip/public-schools.geojson,POINT (12.055201 9.055451),12.055201,9.055451,Adamawa
u_fc_poi_school.85071,AD,NMIS,Logolwa Primary School,ADSLMR09,Primary,Primary,Public,Formal,School,,,ca4ce574-a6d2-41a6-940b-8915defa3819,public-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-public-schools.zip/public-schools.geojson,POINT (11.519362 9.603555),11.519362,9.603555,Adamawa
u_fc_poi_school.85086,AD,NMIS,Government Boarding Junior Secondary School Fufore,ADSFUR03,Secondary,Junior,Public,Formal,School,,,ca55189a-dd74-4906-8e3b-7eca622b0a0f,public-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-public-schools.zip/public-schools.geojson,POINT (12.678189 9.205139),12.678189,9.205139,Adamawa
u_fc_poi_school.85140,AD,eHA Polio,Kerau 1 Primary School,ADSGUY08,Primary,Standard,Public,Formal,School,,,ca71bd2a-5072-4c26-95f1-4f52f9058578,public-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-public-schools.zip/public-schools.geojson,POINT (11.8950332 9.6870413),11.8950332,9.6870413,Adamawa
