id,state_code,source,name,ward_code,category,subtype,management,education,poi_type,no_of_teac,no_of_stud,global_id,layer,path,geometry,longitude,latitude,state_name,state_clean,norm_name,School Status,School Level,School Type,School Name
u_fc_poi_school.8787,AD,NMIS,Kolere Primary School,ADSJAD08,Primary,Primary,Public,Formal,School,,,159822ef-7f95-4066-a79a-f7849a16a26c,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (12.170919 8.827724),12.170919,8.827724,Adamawa,Adamawa,kolere,Open,Pre-Primary & Primary,Regular,Kolere Primary School
u_fc_poi_school.8987,AD,NMIS,Sili Tudu II Primary School,ADSGUY04,Primary,Primary,Public,Formal,School,,,1612efe1-f68a-4f20-b1b5-966ea53a894b,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (11.865705 9.766731),11.865705,9.766731,Adamawa,Adamawa,sili tudu ii,Open,Pre-Primary & Primary,Regular,Sili-Tudu II Primary School
u_fc_poi_school.9004,AD,NMIS,Kodomun Primary School,ADSDSA03,Primary,Standard,Public,Formal,School,,,161911c8-b51f-4555-abb7-e397412d0611,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (12.223026 9.458519),12.223026,9.458519,Adamawa,Adamawa,kodomun,Open,Pre-Primary & Primary,Regular,Kodomun Primary School
u_fc_poi_school.9064,AD,NMIS,Kunliro Primary School,ADSDSA03,Primary,Primary,Public,Formal,School,,,16385f2a-b3da-4904-ad04-7fa931c7d990,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (12.198679 9.460037),12.198679,9.460037,Adamawa,Adamawa,kunliro,Open,Pre-Primary & Primary,Regular,Kunliro Primary School
u_fc_poi_school.9133,AD,NMIS,Lokoro Primary School,ADSGUY09,Primary,Primary,Public,Formal,School,,,166284a2-3fcd-4e77-b4e9-34dd29867772,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (11.932763 9.856338),11.932763,9.856338,Adamawa,Adamawa,lokoro,Open,Pre-Primary & Primary,Regular,Lokoro Primary School
u_fc_poi_school.9311,AD,NMIS,Banjiram III Primary School,ADSGUY01,Primary,Primary,Public,Formal,School,,,16cc5b25-8c50-4f85-a475-802abf6254fb,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (11.982595 9.819442),11.982595,9.819442,Adamawa,Adamawa,banjiram iii,Open,Pre-Primary & Primary,Regular,Banjiram III Primary School
u_fc_poi_school.9356,AD,NMIS,Jifan Primary School,ADSSNG09,Primary,Primary,Public,Formal,School,,,16e67d56-6041-4b00-8509-fa0d3130a71f,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (12.270981 9.553121),12.270981,9.553121,Adamawa,Adamawa,jifan,Open,Pre-Primary & Primary,Regular,Jifan Primary School
u_fc_poi_school.9379,AD,eHA Polio,Lugga Primary School,ADSGRE08,Primary,Standard,Public,Formal,School,,,16f3ce44-9fbf-4711-89e7-ed1b03ce4c92,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (12.634548 9.2872605),12.634548,9.2872605,Adamawa,Adamawa,lugga,Open,Pre-Primary & Primary,Regular,Lugga Primary School
u_fc_poi_school.9474,AD,NMIS,Bai Primary School,ADSFUR09,Primary,Primary,Public,Formal,School,,,17290107-212d-4da7-bb4f-4dfc71702bc4,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (12.499929 8.978871),12.499929,8.978871,Adamawa,Adamawa,bai,Open,Pre-Primary & Primary,Regular,Bai Primary School
u_fc_poi_school.9497,AD,NMIS,Barkono Primary School,ADSJAD11,Primary,Primary,Public,Formal,School,,,1735d881-56ba-4580-97c9-e17cfb37ded4,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (12.313704 8.506554),12.313704,8.506554,Adamawa,Adamawa,barkono,Open,Pre-Primary & Primary,Regular,Barkono Primary School
u_fc_poi_school.9556,AD,NMIS,Sabonlayi Primary School,ADSMDG06,Primary,Primary,Public,Formal,School,,,175e649c-cfc7-4ff5-8c26-4936e6f221f6,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (13.630737 10.896592),13.630737,10.896592,Adamawa,Adamawa,sabonlayi,Open,Pre-Primary & Primary,Regular,Sabonlayi Primary School
u_fc_poi_school.9621,AD,NMIS,Boburo Primary School,ADSSHG05,Primary,Primary,Public,Formal,School,,,1782cc8d-c776-4df1-b1cd-2735d43e4499,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (12.043856 9.857547),12.043856,9.857547,Adamawa,Adamawa,boburo,Open,Pre-Primary & Primary,Regular,Boburo Primary School
u_fc_poi_school.9653,AD,NMIS,Mayo Lope Primary School,ADSDSA08,Primary,Primary,Public,Formal,School,,,1791f099-42db-43a6-8bd3-bda69ad79a00,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (11.682808 9.242396),11.682808,9.242396,Adamawa,Adamawa,mayo lope,Open,Pre-Primary & Primary,Regular,Mayo -Lope Primary School
u_fc_poi_school.9701,AD,NMIS,Wuro Iya Primary School,ADSMAH10,Primary,Primary,Public,Formal,School,,,17aa1df8-1812-4c37-977c-953d4509229a,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (13.227795 9.956942),13.227795,9.956942,Adamawa,Adamawa,wuro iya,Open,Pre-Primary & Primary,Regular,Wuro Iya Primary School
u_fc_poi_school.9910,AD,NMIS,Mbamba Primary School,ADSMUB10,Primary,Primary,Public,Formal,School,,,182c0438-efa2-4f8e-bdfc-f12642d16351,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (13.307142 10.321904),13.307142,10.321904,Adamawa,Adamawa,mbamba,Open,Pre-Primary & Primary,Regular,Mbamba Primary School
u_fc_poi_school.10082,AD,NMIS,Bappare Primary School,ADSFUR03,Primary,Primary,Public,Formal,School,,,1895319a-acbd-4b8c-a8ed-6f4b44044821,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (12.71627 9.22712),12.71627,9.22712,Adamawa,Adamawa,bappare,Open,Pre-Primary & Primary,Regular,Bappare Primary School
u_fc_poi_school.10144,AD,NMIS,Yelwa Primary School,ADSMUB11,Primary,Standard,Public,Formal,School,,,18b7d536-fdfe-4409-8135-33933777a609,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (13.252932 10.274131),13.252932,10.274131,Adamawa,Adamawa,yelwa,Open,Junior Secondary,Regular,"Government Junior Secondary School, Yelwa"
u_fc_poi_school.10720,AD,NMIS,Basule Primary School,ADSGAN10,Primary,Primary,Public,Formal,School,,,1a0b74ce-ac99-445a-81f1-70a863a8f7b4,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (11.885232 8.582167),11.885232,8.582167,Adamawa,Adamawa,basule,Open,Pre-Primary & Primary,Regular,Basule Primary School
