id,state,lga_name,school_name_grid3,school_name_immap,status,education_level,school_type,latitude,longitude,category,subtype,management
u_fc_poi_school.3239,Adamawa,Gombi,Dingai Primary School,Dingai Nomadic Primary School,Open,Pre-Primary & Primary,Nomadic (Migrants),10.128257,12.339405,Primary,Primary,Public
u_fc_poi_school.3280,Adamawa,Michika,Kubi Primary School,Kubi Primary School,Open,Pre-Primary & Primary,Regular,10.665583,13.303856,Primary,Primary,Public
u_fc_poi_school.3299,Adamawa,Demsa,Maliki Primary School,Maliki Primary School,Open,Pre-Primary & Primary,Regular,9.375028,12.093106,Primary,Primary,Public
u_fc_poi_school.3398,Adamawa,Jada,Gangjamdi Primary School,Gangjamdi Primary School,Open,Pre-Primary & Primary,Regular,8.477438,12.059083,Primary,Primary,Public
u_fc_poi_school.3497,Adamawa,Gombi,Muchalla Primary School,Muchalla Primary School,Open,Pre-Primary & Primary,Regular,10.124002,12.70833,Primary,Standard,Public
u_fc_poi_school.3589,Adamawa,Michika,Muni Primary School,Muni Primary School,Open,Pre-Primary & Primary,Regular,10.605209,13.395112,Primary,Primary,Public
u_fc_poi_school.4078,Adamawa,Michika,Watu Primary School,Watu Primary School,Open,Pre-Primary & Primary,Regular,10.607736,13.370585,Primary,Primary,Public
u_fc_poi_school.4271,Adamawa,Gombi,Hurkwene Primary School,Hurkwene Primary School,Open,Pre-Primary & Primary,Regular,10.061031,12.447439,Primary,Primary,Public
u_fc_poi_school.4340,Adamawa,Yola South,Sabana Primary School,Sabana Primary School,Open,Pre-Primary & Primary,Regular,9.322943,12.229719,Primary,Primary,Public
u_fc_poi_school.4746,Adamawa,Mubi South,Bajaule Primary School,Bajaule Primary School,Open,Pre-Primary & Primary,Regular,10.167274,13.225923,Primary,Primary,Public
u_fc_poi_school.4871,Adamawa,Maiha,Kolwa Primary School,Kolwa Primary School,Open,Pre-Primary & Primary,Regular,9.934198,13.176447,Primary,Primary,Public
u_fc_poi_school.5042,Adamawa,Demsa,Sabewa Primary School,Sabewa Primary School,Open,Pre-Primary & Primary,Regular,9.571547,12.070341,Primary,Primary,Public
u_fc_poi_school.5143,Adamawa,Yola South,Bole I Primary School,Bole I Primary School,Open,Pre-Primary & Primary,Regular,9.122106,12.462805,Primary,Primary,Public
u_fc_poi_school.5365,Adamawa,Yola North,Karewa Primary School,Karewa Primary School,Open,Pre-Primary & Primary,Regular,9.2470641,12.4447417,Primary,Standard,Public
u_fc_poi_school.5509,Adamawa,Mubi South,Global City Academy,Global City Academy,Open,Private Education,Regular,10.264252,13.259822,Primary,Standard,Private
u_fc_poi_school.5794,Adamawa,Yola North,Majalisa Primary School,Majalisa Primary School,Open,Pre-Primary & Primary,Regular,9.276919,12.460777,Primary,Primary,Public
u_fc_poi_school.5946,Adamawa,Girei,Sabongari Primary School,Sabongari Primary School,Open,Pre-Primary & Primary,Regular,9.334522,12.50772,Primary,Primary,Public
u_fc_poi_school.6055,Adamawa,Guyuk,Kerau II Primary School,Kerau II Primary School,Open,Pre-Primary & Primary,Regular,9.697797,11.903565,Primary,Primary,Public
u_fc_poi_school.6364,Adamawa,Fufore,Filingo Primary School,Filingo Primary School,Open,Pre-Primary & Primary,Regular,9.243502,12.873201,Primary,Primary,Public
u_fc_poi_school.6533,Adamawa,Jada,Jarandi Leko Primary School,Jarandi Leko Primary School,Open,Pre-Primary & Primary,Regular,8.665856,12.304192,Primary,Primary,Public
u_fc_poi_school.6607,Adamawa,Demsa,Dong II Primary School,Dong II Primary School,Open,Pre-Primary & Primary,Regular,9.402843,11.910613,Primary,Primary,Public
u_fc_poi_school.6670,Adamawa,Jada,Gangnai Primary School,Gangnai Primary School,Open,Pre-Primary & Primary,Regular,8.753427,12.091731,Primary,Primary,Public
u_fc_poi_school.6675,Adamawa,Yola North,Old Government Reserved Area Primary School,Old Government Reserved Area Primary School,Open,Pre-Primary & Primary,Regular,9.26565,12.457309,Primary,Standard,Public
u_fc_poi_school.6811,Adamawa,Fufore,Wuro Mango Primary School,Wuro Mango Nomadic Primary School,Open,Pre-Primary & Primary,Nomadic (Migrants),9.2986647,12.8211586,Primary,Standard,Public
u_fc_poi_school.6945,Adamawa,Yola North,Mbachure Primary School,Mbachure Primary School,Open,Pre-Primary & Primary,Regular,9.248376,12.426147,Primary,Primary,Public
u_fc_poi_school.7071,Adamawa,Yola South,Goduwo Primary School,Goduwo Primary School,Open,Pre-Primary & Primary,Regular,9.399367,12.31027,Primary,Primary,Public
u_fc_poi_school.7072,Adamawa,Demsa,Linga Primary School,Linga Primary School,Open,Pre-Primary & Primary,Regular,9.505788,12.123629,Primary,Primary,Public
u_fc_poi_school.7083,Adamawa,Maiha,Kuna Vinde,Kuna Vinde Primary School,Open,Pre-Primary & Primary,Regular,10.144601,13.173407,Primary,Primary,Public
u_fc_poi_school.7226,Adamawa,Jada,Wuro Alhaji Yahya Primary School,Wuro Alhaji Yahya Primary School,Open,Pre-Primary & Primary,Regular,8.6261246,12.382883,Primary,Primary,Public
u_fc_poi_school.7311,Adamawa,Mayo-Belwa,Boyu Primary School,Boyu Primary School,Open,Pre-Primary & Primary,Regular,8.712139,11.887755,Primary,Primary,Public
u_fc_poi_school.7314,Adamawa,Maiha,Kongoli Primary School,Kongoli Primary School,Open,Pre-Primary & Primary,Regular,9.791717,13.106109,Primary,Primary,Public
u_fc_poi_school.7479,Adamawa,Maiha,Lainde Primary School,Lainde Primary School,Open,Pre-Primary & Primary,Regular,10.057758,13.165414,Primary,Primary,Public
u_fc_poi_school.7514,Adamawa,Song,Kuba Banga Primary School,Kuba Banga Primary School,Open,Pre-Primary & Primary,Regular,9.850289,12.443336,Primary,Primary,Public
u_fc_poi_school.7646,Adamawa,Mubi North,Gazha Primary School,Gazha Primary School,Open,Pre-Primary & Primary,Regular,10.432858,13.428123,Primary,Primary,Public
u_fc_poi_school.7748,Adamawa,Maiha,Murkunchi Primary School,Murkunchi Primary School,Open,Pre-Primary & Primary,Regular,10.154167,13.117454,Primary,Primary,Public
u_fc_poi_school.7768,Adamawa,Song,Pupah Primary School,Pupah Primary School,Open,Pre-Primary & Primary,Regular,9.821941,12.162029,Primary,Primary,Public
u_fc_poi_school.8092,Adamawa,Hong,Lar Primary School,Lar Primary School,Open,Pre-Primary & Primary,Regular,10.405915,12.84936,Primary,Primary,Public
u_fc_poi_school.8169,Adamawa,Numan,Gyemun Primary School,Gyemun Primary School,Open,Pre-Primary & Primary,Regular,9.474624,11.737827,Primary,Standard,Public
u_fc_poi_school.8178,Adamawa,Ganye,Danubbi Primary School,Danubbi Primary School,Open,Pre-Primary & Primary,Regular,8.484309,11.899347,Primary,Primary,Public
u_fc_poi_school.8268,Adamawa,Michika,Kanza Primary School,Kanza Primary School,Open,Pre-Primary & Primary,Regular,10.55545,13.389633,Primary,Primary,Public
u_fc_poi_school.8270,Adamawa,Gombi,Humra Primary School,Humra Primary School,Open,Pre-Primary & Primary,Regular,10.018186,12.222019,Primary,Primary,Public
u_fc_poi_school.8411,Adamawa,Yola South,Mbamba II Primary School,Mbamba II Primary School,Open,Pre-Primary & Primary,Regular,9.178171,12.540931,Primary,Standard,Public
u_fc_poi_school.8412,Adamawa,Demsa,Loh Primary School,Loh Nomadic Primary School,Open,Pre-Primary & Primary,Regular,9.500123,12.106305,Primary,Standard,Public
u_fc_poi_school.8552,Adamawa,Girei,Fawaire Primary School,Fawaire Primary School,Open,Pre-Primary & Primary,Regular,9.46818,12.392133,Primary,Standard,Public
u_fc_poi_school.8595,Adamawa,Mubi North,Suzuwa Primary School,Suzuwa Primary School,Open,Pre-Primary & Primary,Regular,10.488957,13.349338,Primary,Primary,Public
u_fc_poi_school.8618,Adamawa,Hong,Daksiri Tiding Primary School,Daksiri Tiding Primary School,Open,Pre-Primary & Primary,Regular,10.132859,12.962836,Primary,Primary,Public
u_fc_poi_school.8754,Adamawa,Shelleng,Gundo Primary School,Gundo Primary School,Open,Pre-Primary & Primary,Regular,9.700052,12.02766,Primary,Primary,Public
u_fc_poi_school.8787,Adamawa,Jada,Kolere Primary School,Kolere Primary School,Open,Pre-Primary & Primary,Regular,8.827724,12.170919,Primary,Primary,Public
u_fc_poi_school.8987,Adamawa,Guyuk,Sili Tudu II Primary School,Sili-Tudu II Primary School,Open,Pre-Primary & Primary,Regular,9.766731,11.865705,Primary,Primary,Public
u_fc_poi_school.9004,Adamawa,Demsa,Kodomun Primary School,Kodomun Primary School,Open,Pre-Primary & Primary,Regular,9.458519,12.223026,Primary,Standard,Public
u_fc_poi_school.9064,Adamawa,Demsa,Kunliro Primary School,Kunliro Primary School,Open,Pre-Primary & Primary,Regular,9.460037,12.198679,Primary,Primary,Public
u_fc_poi_school.9133,Adamawa,Guyuk,Lokoro Primary School,Lokoro Primary School,Open,Pre-Primary & Primary,Regular,9.856338,11.932763,Primary,Primary,Public
u_fc_poi_school.9311,Adamawa,Guyuk,Banjiram III Primary School,Banjiram III Primary School,Open,Pre-Primary & Primary,Regular,9.819442,11.982595,Primary,Primary,Public
u_fc_poi_school.9356,Adamawa,Girei,Jifan Primary School,Jifan Primary School,Open,Pre-Primary & Primary,Regular,9.553121,12.270981,Primary,Primary,Public
u_fc_poi_school.9474,Adamawa,Fufore,Bai Primary School,Bai Primary School,Open,Pre-Primary & Primary,Regular,8.978871,12.499929,Primary,Primary,Public
u_fc_poi_school.9497,Adamawa,Jada,Barkono Primary School,Barkono Primary School,Open,Pre-Primary & Primary,Regular,8.506554,12.313704,Primary,Primary,Public
u_fc_poi_school.9621,Adamawa,Shelleng,Boburo Primary School,Boburo Primary School,Open,Pre-Primary & Primary,Regular,9.857547,12.043856,Primary,Primary,Public
u_fc_poi_school.9701,Adamawa,Maiha,Wuro Iya Primary School,Wuro Iya Primary School,Open,Pre-Primary & Primary,Regular,9.956942,13.227795,Primary,Primary,Public
u_fc_poi_school.9910,Adamawa,Mubi North,Mbamba Primary School,Mbamba Primary School,Open,Pre-Primary & Primary,Regular,10.321904,13.307142,Primary,Primary,Public
u_fc_poi_school.10082,Adamawa,Fufore,Bappare Primary School,Bappare Primary School,Open,Pre-Primary & Primary,Regular,9.22712,12.71627,Primary,Primary,Public
u_fc_poi_school.10144,Adamawa,Mubi North,Yelwa Primary School,Yelwa Primary School,Open,Pre-Primary & Primary,Regular,10.274131,13.252932,Primary,Standard,Public
u_fc_poi_school.10720,Adamawa,Ganye,Basule Primary School,Basule Primary School,Open,Pre-Primary & Primary,Regular,8.582167,11.885232,Primary,Primary,Public
u_fc_poi_school.10945,Adamawa,Gombi,Gangrang Primary School,Gangrang Primary School,Open,Pre-Primary & Primary,Regular,10.111274,12.485919,Primary,Primary,Public
u_fc_poi_school.11091,Adamawa,Mubi South,Goni Bello Islamic Education Centre,Goni Bello Islamic Education Centre,Open,Private Education,Islamiyya Integrated,10.261597,13.277552,Primary,Standard,Private
u_fc_poi_school.11130,Adamawa,Jada,Nyeba Primary School,Nyeba Primary School,Open,Pre-Primary & Primary,Regular,8.629447,12.463492,Primary,Primary,Public
u_fc_poi_school.11273,Adamawa,Fufore,Abba Kumbo Primary School,Abba Kumbo Primary School,Open,Pre-Primary & Primary,Regular,9.395173,12.831494,Primary,Primary,Public
u_fc_poi_school.11281,Adamawa,Yola South,Garandiya Nomadic Primary School,Garandiya Nomadic Primary School,Open,Pre-Primary & Primary,Regular,9.146524,12.540305,Primary,Primary,Public
u_fc_poi_school.11472,Adamawa,Hong,Garaha Dutse Primary School,Garaha Dutse Primary School,Open,Pre-Primary & Primary,Regular,10.401074,12.889207,Primary,Primary,Public
u_fc_poi_school.11613,Adamawa,Hong,Garari Primary School,Garari Primary School,Open,Pre-Primary & Primary,Regular,10.112592,13.077126,Primary,Primary,Public
u_fc_poi_school.11637,Adamawa,Demsa,Lukpaga Primary School,Lukpaga Primary School,Open,Pre-Primary & Primary,Regular,9.294319,12.009862,Primary,Standard,Public
u_fc_poi_school.11711,Adamawa,Mayo-Belwa,Kugama Primary School,Kugama Primary School,Open,Pre-Primary & Primary,Regular,9.113425,11.90169,Primary,Primary,Public
u_fc_poi_school.11891,Adamawa,Jada,Nyibango Primary School,Nyibango Primary School,Open,Pre-Primary & Primary,Regular,8.534643,12.109838,Primary,Standard,Public
u_fc_poi_school.12019,Adamawa,Demsa,Tassala Primary School,Tassala Primary School,Open,Pre-Primary & Primary,Regular,9.4999,12.146216,Primary,Standard,Public
u_fc_poi_school.12098,Adamawa,Yola North,Dougirei Primary School,Dougirei Primary School,Open,Pre-Primary & Primary,Regular,9.260019,12.475242,Primary,Primary,Public
u_fc_poi_school.12109,Adamawa,Toungo,Timbilla Primary School,Timbilla Primary School,Open,Pre-Primary & Primary,Regular,7.974303,11.640702,Primary,Primary,Public
u_fc_poi_school.12136,Adamawa,Ganye,Bari Primary School,Bari Primary School,Open,Pre-Primary & Primary,Regular,8.460425,12.216338,Primary,Primary,Public
u_fc_poi_school.12210,Adamawa,Gombi,Jebre Primary School,Jebre Primary School,Open,Pre-Primary & Primary,Regular,10.153647,12.346509,Primary,Primary,Public
u_fc_poi_school.12445,Adamawa,Mubi South,Mubi II Primary School,Mubi II Primary School,Open,Pre-Primary & Primary,Regular,10.263008,13.259013,Primary,Primary,Public
u_fc_poi_school.12454,Adamawa,Mayo-Belwa,Ganglamja Primary School,Ganglamja Primary School,Open,Pre-Primary & Primary,Regular,8.8438,11.954218,Primary,Standard,Public
u_fc_poi_school.12506,Adamawa,Ganye,Bakari Goso Primary School I,Bakari Goso I Primary School,Open,Pre-Primary & Primary,Regular,8.527915,12.277097,Primary,Primary,Public
u_fc_poi_school.12613,Adamawa,Guyuk,Kola III Primary School,Kola III Primary School,Open,Pre-Primary & Primary,Regular,9.71031,11.936243,Primary,Primary,Public
u_fc_poi_school.12802,Adamawa,Ganye,Kubbi Lissabi Primary School,Kubbi Lissabi Primary School,Open,Pre-Primary & Primary,Regular,8.627386,11.861387,Primary,Primary,Public
u_fc_poi_school.12840,Adamawa,Jada,Naguma Primary School,Naguma Primary School,Open,Pre-Primary & Primary,Regular,8.615894,12.048555,Primary,Primary,Public
u_fc_poi_school.12852,Adamawa,Fufore,Tali Primary School,Tali Primary School,Open,Pre-Primary & Primary,Regular,8.799609,12.484532,Primary,Primary,Public
u_fc_poi_school.13004,Adamawa,Numan,Bare Primary School,Bare Primary School,Open,Pre-Primary & Primary,Regular,9.61298,12.050311,Primary,Primary,Public
u_fc_poi_school.13120,Adamawa,Demsa,Gwassala Primary School,Gwassala Primary School,Open,Pre-Primary & Primary,Regular,9.491643,12.133464,Primary,Primary,Public
u_fc_poi_school.13156,Adamawa,Mubi South,Sebore Primary School,Sebore Primary School,Open,Pre-Primary & Primary,Regular,10.249134,13.278134,Primary,Standard,Private
u_fc_poi_school.13176,Adamawa,Demsa,Bosso Nomadic Primary School,Bosso Nomadic Primary School,Open,Pre-Primary & Primary,Nomadic (Migrants),9.577304,12.14533,Primary,Primary,Public
u_fc_poi_school.13210,Adamawa,Shelleng,Upper Benue Staff School,Upper Benue Staff Primary School,Open,Pre-Primary & Primary,Regular,9.672425,12.016162,Primary,Standard,Private
u_fc_poi_school.13300,Adamawa,Yola South,Sangere Bode Primary School,Sangere Bode Primary School,Open,Pre-Primary & Primary,Regular,9.292006,12.344013,Primary,Standard,Public
u_fc_poi_school.13361,Adamawa,Demsa,Sabon Gari Primary School,Sabon Gari Primary School,Open,Pre-Primary & Primary,Regular,9.42777,12.077716,Primary,Primary,Public
u_fc_poi_school.13401,Adamawa,Maiha,Jamtari Primary School,Jamtari Primary School,Open,Pre-Primary & Primary,Regular,9.560493,13.167377,Primary,Primary,Public
u_fc_poi_school.13485,Adamawa,Hong,Kulinyi Primary,Kulinyi Primary School,Open,Pre-Primary & Primary,Regular,10.188275,13.051636,Primary,Primary,Public
u_fc_poi_school.13671,Adamawa,Song,Murke Primary School,Murke Primary School,Open,Pre-Primary & Primary,Regular,9.653115,12.559168,Primary,Primary,Public
u_fc_poi_school.14077,Adamawa,Fufore,Central Primary School Fufore,"Central Primary School, Fufore",Open,Pre-Primary & Primary,Regular,9.223359,12.654405,Primary,Standard,Public
u_fc_poi_school.14151,Adamawa,Toungo,Mayo Gbagbag Primary School,Mayo-Gbagbag Primary School,Open,Pre-Primary & Primary,Regular,8.074722,12.065377,Primary,Primary,Public
u_fc_poi_school.14545,Adamawa,Demsa,Kwafara Primary School,"Kwafara Primary School, School",Open,Pre-Primary & Primary,Regular,9.318366,11.824753,Primary,Primary,Public
u_fc_poi_school.14610,Adamawa,Lamurde,Lakan Primary School,Lakan Primary,Open,Pre-Primary & Primary,Regular,9.538756,11.642568,Primary,Primary,Public
u_fc_poi_school.14627,Adamawa,Fufore,Beti Bappawo Primary School,Beti Bappawo Primary,Open,Pre-Primary & Primary,Regular,9.111853,12.668974,Primary,Primary,Public
u_fc_poi_school.14821,Adamawa,Gombi,Bebe Primary School,Bebe Primary School,Open,Pre-Primary & Primary,Regular,10.266127,12.613496,Primary,Primary,Public
u_fc_poi_school.14925,Adamawa,Gombi,Dingam Primary School,Dingam Primary School,Open,Pre-Primary & Primary,Regular,10.100866,12.206726,Primary,Primary,Public
u_fc_poi_school.15087,Adamawa,Guyuk,Lamza II Primary School,Lamza II Primary School,Open,Pre-Primary & Primary,Regular,9.824343,11.862479,Primary,Primary,Public
u_fc_poi_school.15184,Adamawa,Jada,Danaba I Primary School,Danaba I Primary School,Open,Pre-Primary & Primary,Regular,8.571903,12.052836,Primary,Primary,Public
u_fc_poi_school.15256,Adamawa,Maiha,Sabon Gari Nomadic School,Sabon Gari Primary School,Open,Pre-Primary & Primary,Nomadic (Migrants),9.853369,13.217364,Primary,Primary,Public
u_fc_poi_school.15331,Adamawa,Mubi North,Betso Mango,Betso Mango Primary School,Open,Pre-Primary & Primary,Regular,10.502502,13.347985,Primary,Primary,Public
u_fc_poi_school.15386,Adamawa,Gombi,Dahai Primary School,Dahai Primary School,Open,Pre-Primary & Primary,Regular,10.191755,12.640126,Primary,Primary,Public
u_fc_poi_school.15498,Adamawa,Madagali,Sukur Daurawa,Sukur Daurawa Primary School,Open,Pre-Primary & Primary,Regular,10.88457,13.601757,Primary,Primary,Public
u_fc_poi_school.15557,Adamawa,Jada,Sapeo Primary School,Sapeo Primary School,Open,Pre-Primary & Primary,Regular,8.45345,12.382611,Primary,Primary,Public
u_fc_poi_school.15702,Adamawa,Ganye,Gangjari Primary School,Gangjari Primary School,Open,Pre-Primary & Primary,Regular,8.538807,11.916129,Primary,Primary,Public
u_fc_poi_school.16000,Adamawa,Yola North,Damilu I Primary School,Damilu I Primary School,Open,Pre-Primary & Primary,Regular,9.270765,12.418332,Primary,Primary,Public
u_fc_poi_school.16024,Adamawa,Jada,Futuhul Islam Primary School,Futuhul Islam,Open,Private Education,Islamiyya Integrated,8.62648,12.382885,Primary,Primary,Private
u_fc_poi_school.16064,Adamawa,Hong,Dildar Primary School,Dildar Primary School,Open,Pre-Primary & Primary,Regular,10.062492,13.023272,Primary,Primary,Public
u_fc_poi_school.16428,Adamawa,Maiha,Bokken Primary School,Bokken Primary School,Open,Pre-Primary & Primary,Regular,10.000475,13.24734,Primary,Primary,Public
u_fc_poi_school.16476,Adamawa,Madagali,Maradi Primary School,Maradi Primary School,Open,Pre-Primary & Primary,Regular,10.784615,13.371434,Primary,Primary,Public
u_fc_poi_school.16496,Adamawa,Ganye,Sandoka Primary School,Sandoka Primary School,Open,Pre-Primary & Primary,Regular,8.422321,12.080233,Primary,Primary,Public
u_fc_poi_school.16539,Adamawa,Demsa,Gidan Rimi Primary School,Gidan-Rimi Primary School,Open,Pre-Primary & Primary,Regular,9.314643,11.816912,Primary,Primary,Public
u_fc_poi_school.16585,Adamawa,Guyuk,Doma Primary School,Doma Primary School,Open,Pre-Primary & Primary,Regular,10.026974,11.965353,Primary,Standard,Public
u_fc_poi_school.16757,Adamawa,Fufore,Nafori Primary School,Nafori Primary School,Open,Pre-Primary & Primary,Regular,9.260236,12.797737,Primary,Primary,Public
u_fc_poi_school.16780,Adamawa,Jada,Farangvan Primary School,"Government Junior Secondary School, Farangvan",Open,Junior Secondary,Regular,8.749496,12.046282,Primary,Primary,Public
u_fc_poi_school.16828,Adamawa,Yola North,Army Children,Army Children Primary School,Open,Pre-Primary & Primary,Regular,9.234738,12.421635,Primary,Standard,Public
u_fc_poi_school.16941,Adamawa,Gombi,Dongo Primary School,Dongo Primary School,Open,Pre-Primary & Primary,Regular,10.234757,12.734807,Primary,Primary,Public
u_fc_poi_school.16956,Adamawa,Jada,Bainde Primary School,Bainde Primary School,Open,Pre-Primary & Primary,Regular,8.816747,12.72566,Primary,Primary,Public
u_fc_poi_school.16993,Adamawa,Guyuk,Banjiram II Primary School,Banjiram II Primary School,Open,Pre-Primary & Primary,Regular,9.807127,11.956398,Primary,Primary,Public
u_fc_poi_school.17117,Adamawa,Gombi,Tawasu Primary School,Tawasu Primary School,Open,Pre-Primary & Primary,Regular,10.247709,12.281528,Primary,Primary,Public
u_fc_poi_school.17360,Adamawa,Song,Tunlungo Primary School,Tunlungo Primary School,Open,Pre-Primary & Primary,Regular,9.840566,12.687745,Primary,Primary,Public
u_fc_poi_school.17363,Adamawa,Mayo-Belwa,Bura Lamja Primary School,Bura Lamja Primary School,Open,Pre-Primary & Primary,Regular,8.910844,12.004998,Primary,Primary,Public
u_fc_poi_school.17377,Adamawa,Madagali,Kopa Primary School,"Government Junior Secondary School, Kopa",Open,Junior Secondary,Regular,10.724172,13.345972,Primary,Primary,Public
u_fc_poi_school.17473,Adamawa,Maiha,Wuro Boka Primary School,Wuro Boka Primary School,Open,Pre-Primary & Primary,Regular,9.914221,13.23273,Primary,Primary,Public
u_fc_poi_school.17509,Adamawa,Hong,Mutuku Primary School,Mutuku Primary School,Open,Pre-Primary & Primary,Regular,10.293649,12.95879,Primary,Primary,Public
u_fc_poi_school.17521,Adamawa,Ganye,Gangtimen Primary School,Gangtimen,Open,Pre-Primary & Primary,Regular,8.626049,12.244638,Primary,Primary,Public
u_fc_poi_school.17723,Adamawa,Michika,Mutsi Primary School,Mutsi Primary School,Open,Pre-Primary & Primary,Regular,10.614317,13.401114,Primary,Primary,Public
u_fc_poi_school.17809,Adamawa,Fufore,Dulo Fulani Primary School,Dulo Fulani Primary School,Open,Pre-Primary & Primary,Regular,9.293063,12.793946,Primary,Primary,Public
u_fc_poi_school.17925,Adamawa,Mayo-Belwa,Dapanti Primary School,Dapanti Primary School,Open,Pre-Primary & Primary,Regular,9.076085,11.80088,Primary,Primary,Public
u_fc_poi_school.18037,Adamawa,Yola South,Lamido Aliyu Memorial Primary School,Lamido Aliyu Memorial Academy,Open,Private Education,Regular,9.216337,12.483037,Primary,Primary,Private
u_fc_poi_school.18039,Adamawa,Madagali,Mede Primary School,Mede Primary School,Open,Pre-Primary & Primary,Regular,10.844185,13.635236,Primary,Primary,Public
u_fc_poi_school.18066,Adamawa,Madagali,Gori Primary School,Gori Primary School,Open,Pre-Primary & Primary,Regular,10.943621,13.630087,Primary,Primary,Public
