latitude,longitude,idp_population
11.08894,13.69642,13980
11.07857,13.68674,8228
11.0894,13.68793,1300
11.22536,13.78608,16570
11.23179,13.7763,494
10.96916,13.6659,4320
11.07225,13.69499,4710
11.07002,13.68992,5802
11.22913,13.78371,1305
11.22256,13.78383,7030
11.22062,13.77783,9437
11.23122,13.78367,3666
11.22534,13.78606,5326
11.23177,13.77628,10508
11.22047,13.78747,7204
11.22738,13.77414,13654
11.23111,13.78741,1859
10.525174,12.251007,651
10.58752,12.05332,587
10.43137,12.0983,139
10.5269,12.28854,2712
10.536266,12.226698,122
10.46432,12.418264,2614
10.49014,12.41747,2089
10.478075,12.432582,904
10.54014,12.1291,600
10.452719,12.160704,1078
10.39269,12.25003,592
10.40643,12.37261,589
10.501638,12.203093,526
10.50885,12.32889,9111
11.75301,13.10069,3532
11.78343,13.13551,3814
11.78242,13.1364,2693
11.80724,13.1754,6566
11.80187,13.17843,3277
11.79478,13.17991,2761
11.78635,13.18826,538
11.7825,13.13622,556
11.78467,13.13903,89
11.790619,13.170897,338
11.79882,13.1782,160
11.791941,13.173189,105
11.79511,13.18109,121
11.808495,13.08815,1524
11.81595,13.09623,1902
11.81242,13.08889,2230
11.81167,13.09191,4126
11.809991,13.09101,1245
11.90945,13.26365,1201
11.88492,13.26214,609
11.811606,13.088328,1030
11.86373,13.23868,1200
11.86873,13.25443,1690
11.87493,13.27582,1133
11.87127,13.23864,2808
11.86968,13.21985,3158
11.88758,13.22396,935
11.89772,13.25245,512
11.89582,13.24064,324
11.88183,13.21638,269
11.86631,13.23638,2610
11.87186,13.24972,30611
11.86603,13.24041,201
11.86917,13.25319,513
11.86955,13.25373,701
11.86705,13.25275,1015
11.8674,13.25057,740
11.88171,13.28239,6409
11.87957,13.26028,631
11.86596,13.24619,3115
11.86925,13.24507,1145
11.86962,13.25497,202
11.86565,13.23252,2065
11.86607,13.25029,204
11.86605,13.24044,197
11.86513,13.24176,2520
11.88693,13.22286,515
11.86494,13.23072,562
11.86446,13.23083,2952
11.86436,13.22814,364
11.88329,13.30563,18580
11.86617,13.22997,117
11.87126,13.21662,601
11.8238,13.07945,1104
11.81402,13.08114,792
11.830911,13.081845,1508
11.81973,13.08098,658
11.83247,13.09072,1975
11.92244,13.21864,699
11.92124,13.20369,601
11.92207,13.19123,3365
11.92758,13.18298,374
11.90858,13.19946,657
11.91911,13.19273,4846
11.9227,13.18693,3229
11.83284,13.17941,1030
11.83341,13.18753,1117
11.83193,13.19049,181
11.83417,13.19397,1181
11.83528,13.1842,1336
11.840641,13.196727,571
11.82767,13.1874,2102
11.85365,13.20161,352
11.81705,13.18937,362
11.81678,13.1902,1408
11.83334,13.18758,528
11.83363,13.18569,2161
11.81605,13.19079,342
11.81568,13.19179,342
11.82143,13.19619,175
11.82952,13.18655,630
11.83344,13.18422,1798
11.83254,13.1994,1530
11.82947,13.1867,1255
11.85541,13.21044,1770
11.84085,13.18804,994
11.85299,13.20175,533
11.84703,13.17985,1377
11.85669,13.18903,1231
11.85091,13.19294,1045
11.85664,13.19427,323
11.85258,13.18114,147
11.84418,13.18612,185
11.85804,13.19984,465
11.85872,13.19924,193
11.85866,13.21539,387
11.85765,13.21543,335
11.84957,13.19326,309
11.85074,13.19245,174
11.8542,13.18295,182
11.85218,13.18255,372
11.84788,13.18567,394
11.85995,13.20219,615
11.85653,13.1889,263
11.9225,13.22328,701
11.94859,13.22575,739
11.92639,13.24309,3213
11.93155,13.22883,781
11.94645,13.22154,1072
11.86406,13.17404,1672
11.86692,13.18604,1761
11.87291,13.17267,2378
11.86921,13.17066,1563
11.87383,13.17541,2643
11.86665,13.16689,2135
11.86304,13.17292,3768
11.86998,13.1807,19597
11.87304,13.19019,199
11.867267,13.181743,5954
11.870047,13.16566,867
11.86693,13.1655,1927
11.87779,13.17996,6330
11.87226,13.17357,445
11.88515,13.17488,21985
11.87192,13.16917,2334
11.86904,13.16368,2111
11.87725,13.17697,201
11.87509,13.18228,1057
11.87146,13.181502,399
11.87771,13.16969,1288
11.87257,13.1638,1899
11.8769,13.1644,179
11.87407,13.17336,158
11.89303,13.1535,1841
11.86176,13.16785,149
11.8722,13.18321,409
11.87844,13.16271,445
11.81264,12.5055,145
11.80597,12.49292,1378
11.80548,12.4916,1330
11.81084,12.47665,157
11.81118,12.49742,699
11.802123,12.498689,558
11.807731,12.482563,86
11.80058,12.47647,967
11.801065,12.494404,2075
11.80784,12.49888,5974
11.81635,12.49353,3621
11.812792,12.500183,1375
11.83152,12.62892,544
11.82694,12.6305,449
11.75949,12.25646,1891
11.75955,12.25682,1169
11.766196,12.26006,1527
11.762593,12.265062,468
11.63194,12.320109,381
12.266891,14.471803,6512
12.266492,14.467953,4502
12.269952,14.467853,16776
12.270773,14.46599,13159
11.84614,13.05096,3262
11.83843,13.07128,2403
11.82156,13.06603,933
11.84768,12.93651,2233
11.84966,13.0229,2011
11.8452,13.05678,541
11.90525,13.09242,581
11.84445,12.93653,3375
12.0369,13.06965,1983
12.02671,13.06188,1502
11.90194,13.07051,1238
