latitude,longitude,event_dates
11.25,13.416667,2016-05-17 00:00:00.000
11.02535,12.260254,2016-05-19 00:00:00.000
11.09826,12.76417,2016-05-19 00:00:00.000
11.09826,12.76417,2016-05-26 00:00:00.000
10.61285,12.19458,2016-05-29 00:00:00.000
11.25,13.416667,2016-05-30 00:00:00.000
11.645334,13.346271,2016-05-31 00:00:00.000
12.49303,13.20914,2016-06-01 00:00:00.000
11.045854,12.646037,2016-06-02 00:00:00.000
11.84644,13.160274,2016-06-02 00:00:00.000
12.989201,13.832239,2016-06-03 00:00:00.000
12.04639,14.48093,2016-06-07 00:00:00.000
11.5,13.0,2016-06-08 00:00:00.000
13.09969,12.1079,2016-06-08 00:00:00.000
11.52059,14.09661,2016-06-10 00:00:00.000
11.25,13.416667,2016-06-10 00:00:00.000
11.10682,13.50868,2016-06-10 00:00:00.000
12.21532,14.18319,2016-06-10 00:00:00.000
11.226071,13.783778,2016-06-12 00:00:00.000
11.36773,13.95471,2016-06-14 00:00:00.000
12.04639,14.48093,2016-06-14 00:00:00.000
11.091417,13.357399,2016-06-14 00:00:00.000
12.04639,14.48093,2016-06-15 00:00:00.000
13.19304,13.61461,2016-06-18 00:00:00.000
11.09826,12.76417,2016-06-19 00:00:00.000
11.771917,13.787394,2016-06-19 00:00:00.000
12.989201,13.832239,2016-06-22 00:00:00.000
12.07982,13.673019,2016-06-25 00:00:00.000
11.98456,13.66256,2016-06-25 00:00:00.000
11.925833,13.605556,2016-06-25 00:00:00.000
12.175314,13.523484,2016-06-25 00:00:00.000
11.5,13.0,2016-06-25 00:00:00.000
11.14164,13.77493,2016-06-27 00:00:00.000
11.52059,14.09661,2016-06-28 00:00:00.000
12.94284,13.17831,2016-06-29 00:00:00.000
12.96309,13.60899,2016-07-03 00:00:00.000
12.79148,13.67426,2016-07-04 00:00:00.000
12.67863,13.60792,2016-07-04 00:00:00.000
12.74273,13.67286,2016-07-04 00:00:00.000
12.96309,13.60899,2016-07-12 00:00:00.000
11.69475,12.58074,2016-07-15 00:00:00.000
11.404307,14.146401,2016-07-18 00:00:00.000
11.52035,14.18203,2016-07-18 00:00:00.000
11.5,13.0,2016-07-18 00:00:00.000
12.96309,13.60899,2016-07-19 00:00:00.000
11.309954,14.187145,2016-07-19 00:00:00.000
11.103593,13.712982,2016-07-19 00:00:00.000
10.85219,13.54889,2016-07-20 00:00:00.000
11.25,13.416667,2016-07-25 00:00:00.000
11.226071,13.783778,2016-07-29 00:00:00.000
10.893471,12.644524,2016-07-31 00:00:00.000
11.89912,13.29155,2016-08-01 00:00:00.000
12.96309,13.60899,2016-08-14 00:00:00.000
12.57852,13.61727,2016-08-15 00:00:00.000
12.1101,13.98946,2016-08-15 00:00:00.000
13.43162,13.31319,2016-08-19 00:00:00.000
11.5,13.0,2016-09-08 00:00:00.000
12.716667,12.033333,2016-09-14 00:00:00.000
13.6734,13.3388,2016-09-19 00:00:00.000
13.6734,13.3388,2016-09-20 00:00:00.000
13.6734,13.3388,2016-09-21 00:00:00.000
13.6169,13.26438,2016-09-22 00:00:00.000
12.19763,14.0223,2016-09-25 00:00:00.000
11.32643,13.96658,2016-09-25 00:00:00.000
13.300203,12.71668,2016-10-16 00:00:00.000
11.09826,12.76417,2016-10-30 00:00:00.000
