lgs_names,status,latitude,longitude
Jada,Open,8.720415,12.311216
Mayo-Belwa,Open,9.14792,11.742295
Jada,Open,8.654525,12.288905
Mubi North,Open,10.224938,13.451231
Michika,Open,10.643233,13.395341
Fufore,Open,9.052236,12.481806
Fufore,Open,9.376059,12.847936
Fufore,Open,9.221489,12.738933
Shelleng,Open,9.887798,12.008927
Toungo,Open,7.994379,11.510938
Guyuk,Open,9.709568,11.86939
Ganye,Open,8.410821,12.013144
Hong,Open,10.28979,13.078544
Fufore,Open,8.882782,12.461977
Toungo,Open,8.002641,11.828415
Mayo-Belwa,Open,9.057714,11.842417
Hong,Open,10.150393,12.933499
Mayo-Belwa,Open,8.875853,12.1028
Girei,Open,9.484325,12.30918
Girei,Open,9.362116,12.540313
Ganye,Open,8.584073,12.143436
Hong,Open,10.2645,12.945933
Mubi South,Open,10.170154,13.29905
Hong,Open,10.424038,12.969832
Yola South,Open,9.290052,12.24346
Demsa,Open,9.293382,11.727297
Mayo-Belwa,Open,9.08708,11.949507
Shelleng,Open,9.707081,12.174264
Guyuk,Open,9.770508,11.961555
Guyuk,Open,9.694658,11.916877
Numan,Open,9.457007,11.923252
Fufore,Open,9.189254,12.234526
Hong,Open,10.149346,12.903006
Jada,Open,8.497253,12.09668
Jada,Open,8.511162,12.028034
Toungo,Open,8.091871,12.008184
Fufore,Open,9.16229,12.634259
Michika,Open,10.649956,13.333727
Girei,Open,9.502047,12.567195
Jada,Open,8.76637,12.222369
Ganye,Open,8.448049,12.050832
Girei,Open,9.292121,12.509729
Fufore,Open,8.799599,12.420694
Song,Open,9.82677,12.35427
Mubi North,Open,10.278139,13.265688
Fufore,Open,9.070032,12.664234
Shelleng,Open,9.644104,11.98955
Jada,Open,8.60252,12.391461
Mubi South,Open,10.195865,13.307421
Michika,Open,10.57482,13.322899
Madagali,Open,10.885389,13.379697
Hong,Open,10.356167,13.162234
Maiha,Open,10.101628,13.212387
Fufore,Open,9.3106844,12.6590548
Shelleng,Open,9.877811,12.094077
Girei,Open,9.380077,12.602266
Girei,Open,9.529461,12.577125
Guyuk,Open,9.842515,11.873615
Guyuk,Open,9.915636,11.961363
Mayo-Belwa,Open,8.978426,11.965216
Fufore,Open,8.980513,12.435979
Mubi North,Open,10.336635,13.256153
Mayo-Belwa,Open,9.087699,11.859804
Guyuk,Open,9.791634,11.960997
Jada,Open,8.720796,12.551643
Guyuk,Open,9.709519,11.875603
Maiha,Open,9.964991,13.255155
Hong,Open,10.445251,12.976312
Girei,Open,9.467976,12.391625
Ganye,Open,8.614445,11.975187
Jada,Open,8.649614,12.449065
Jada,Open,8.599411,12.309836
Fufore,Open,9.392213,12.793391
Mayo-Belwa,Open,9.085457,11.838864
Fufore,Open,9.022407,12.217572
Fufore,Open,9.371735,12.639562
Hong,Open,10.277073,12.97333
