Date of Survey,How was the location Accessed,Location Accessibility,Location_type,Population Category,New Location,State,State code,LGA,LGA code,Ward,Site Type,Site Classification,Site Name,Site ID (SSID),Site Status (if Camp),Latitude,Longitude,new_locations/Site_Class,Reasons of Displacement,Reason for Returning,Households,Individuals,# IDPS/RETURNEES/INTEGRATED/RESETTLED-HHs Arrival- in 2025,# IDPS/RETURNEES/INTEGRATED/RESETTLED-INDs Arrival- in 2025,# IDPS/RETURNEES/INTEGRATED/RESETTLED-HHs Arrival- in 2024_hh,# IDPS/RETURNEES/INTEGRATED/RESETTLED-HHs Arrival- in 2024_ind,# IDPS/RETURNEES/INTEGRATED/RESETTLED-HHs Arrival- in 2023_hh,# IDPS/RETURNEES/INTEGRATED/RESETTLED-HHs Arrival- in 2023_ind,# IDPS/RETURNEES/INTEGRATED/RESETTLED-HHs Arrival- in 2022_hh,# IDPS/RETURNEES/INTEGRATED/RESETTLED-HHs Arrival- in 2022_ind,# IDPS/RETURNEES/INTEGRATED/RESETTLED-HHs Arrival- in 2014_2021_hh,idps_Returnees_integrate_resettled_2014_2021_ind,Total_Arrival Year - Households,Total_Arrival Year -Individuals,Male Infants (<1 y),Female Infants (<1 y),Male Children (1-5 y),Female Children (1-5 y),Male Children (6-12 y),Female Children (6-12 y),Male Youth (13-17 y),Female Youth (13-17 y),Male Adults (18-59 y),Female Adults (18-59 y),Male Elderly (60 +y ),Female Elderly (60 +y ),Returnee Status,initially displaced Country,Initially displaced State,Initially displaced LGA,Initially displaced WARD,Majority Year of Returns (2025) - HH,Majority Year of Returns (2025) - IND,Majority Year of Returns (2024) - HH,Majority Year of Returns (2024) - IND,Majority Year of Returns (2023) - HH,Majority Year of Returns (2023) - IND,Majority Year of Returns (2022) - HH,Majority Year of Returns (2022) - IND,Majority Year of Returns (2014-2021) - HH,Majority Year of Returns (2014-2021) - IND
2025-04-02,face to face,full,IDPs,IDPs dispersed in Host Communities,no,Adamawa,NGA002,Demsa,NGA002001,Dwam,IDPs dispersed in Host Communities,IDPs dispersed in Host Communities,Dwam Dakanta,AD_H015,,9.45328,12.06498,Urban,Communal Clashes,,52,312,3,18,15,90,3,18,4,24,27,162,52,312,7,8,9,9,12,13,84,86,30,30,12,12,IDPs,,,,,,,,,,,,,,
2025-03-25,face to face,full,IDPs,IDPs dispersed in Host Communities,no,Adamawa,NGA002,Demsa,NGA002001,Gwamba,IDPs dispersed in Host Communities,IDPs dispersed in Host Communities,Gwamba,AD_H016,,9.60258,12.19187,Rural,Communal Clashes,,305,1830,5,30,6,36,3,18,6,36,285,1710,305,1830,25,26,84,85,236,237,263,263,220,222,84,85,IDPs,,,,,,,,,,,,,,
2025-03-25,face to face,full,IDPs,IDPs dispersed in Host Communities,no,Adamawa,NGA002,Demsa,NGA002001,Gwamba,IDPs dispersed in Host Communities,IDPs dispersed in Host Communities,Sundi,AD_H017,,9.60257,12.19183,Rural,Communal Clashes,,211,1266,4,24,3,18,2,12,5,30,197,1182,211,1266,16,16,87,88,187,190,218,220,72,73,49,50,IDPs,,,,,,,,,,,,,,
2025-03-21,remotely  phone call,,Returnees,Returnees,no,Adamawa,NGA002,Demsa,NGA002001,Gwamba,Returnees,Returnees,Gwamba,AD_R006,,9.61466,12.19273,Rural,Communal Clashes,Improved security,204,1224,3,18,10,60,4,24,15,90,172,1032,204,1224,5,6,37,38,110,112,209,211,199,200,48,49,IDP Returnee,Nigeria,Adamawa,Demsa,Gwamba,3.0,18.0,10.0,60.0,4.0,24.0,15.0,90.0,172.0,1032.0
2025-03-25,face to face,full,IDPs,IDPs dispersed in Host Communities,no,Adamawa,NGA002,Demsa,NGA002001,Kpasham,IDPs dispersed in Host Communities,IDPs dispersed in Host Communities,Kpasham,AD_H019,,9.30257,11.76324,Rural,Communal Clashes,,207,1242,7,42,10,60,4,24,6,36,180,1080,207,1242,18,18,35,37,185,186,249,251,102,103,29,29,IDPs,,,,,,,,,,,,,,
2025-03-21,face to face,full,Returnees,Returnees,no,Adamawa,NGA002,Demsa,NGA002001,Kpasham,Returnees,Returnees,Kpasham,AD_R007,,9.30061,11.76293,Rural,Communal Clashes,Improved security,139,834,4,24,10,60,15,90,30,180,80,480,139,834,15,15,80,82,110,113,100,100,75,75,34,35,IDP Returnee,Nigeria,Adamawa,Demsa,Kpasham,4.0,24.0,10.0,60.0,15.0,90.0,30.0,180.0,80.0,480.0
2025-03-25,face to face,full,IDPs,Integrated,no,Adamawa,NGA002,Demsa,NGA002001,Kpasham,Integrated,Integrated,Bajiye I,Bajiye I,,9.30066,11.76239,Rural,Communal Clashes,,160,960,6,36,15,90,5,30,4,24,130,780,160,960,16,17,20,22,248,251,124,124,55,56,13,14,IDPs,,,,,,,,,,,,,,
2025-03-25,remotely  phone call,,IDPs,IDPs dispersed in Host Communities,no,Adamawa,NGA002,Demsa,NGA002001,Mbula Kuli,IDPs dispersed in Host Communities,IDPs dispersed in Host Communities,Mbula Kuli,AD_H020,,9.51105,12.1929,Rural,Communal Clashes,,58,348,3,18,20,120,3,18,5,30,27,162,58,348,13,15,25,26,43,44,40,40,35,37,15,15,IDPs,,,,,,,,,,,,,,
2025-03-25,remotely  phone call,,IDPs,IDPs dispersed in Host Communities,no,Adamawa,NGA002,Demsa,NGA002001,Mbula Kuli,IDPs dispersed in Host Communities,IDPs dispersed in Host Communities,Bajifang,AD_H021,,9.51182,12.20143,Rural,Communal Clashes,,63,378,4,24,18,108,5,30,4,24,32,192,63,378,8,10,19,20,38,40,69,70,39,39,13,13,IDPs,,,,,,,,,,,,,,
2025-03-25,face to face,full,IDPs,IDPs dispersed in Host Communities,no,Adamawa,NGA002,Demsa,NGA002001,Nassarawo Demsa,IDPs dispersed in Host Communities,IDPs dispersed in Host Communities,Nasarawo Demsa B,AD_H022,,9.43301,12.13055,Urban,Insurgency,,60,360,3,18,8,48,3,18,3,18,43,258,60,360,7,8,14,15,29,30,72,73,48,49,7,8,IDPs,,,,,,,,,,,,,,
